slug,name_zh,name_en,desc_zh,desc_en,category,category_zh,category_en,url,detail_url,tags,monthly_visits
"hyperwrite","HyperWrite","HyperWrite","AI 写作助手，提供预测式自动补全、联网搜索与引用、AutoWrite 生成等数百个写作与研究工具，可在 AI 文档编辑器内一站式完成从起草到润色的全流程。","AI writing assistant with predictive autocomplete, web-grounded search and citations, AutoWrite generation, and hundreds of writing and research tools.","text","文本生成与编辑","Text Generation & Editing","https://hyperwriteai.com/","https://topxai.cn/ai/hyperwrite","写作 / 内容生成","174890"
"iflyrec-writing","讯飞写作","iFlytek Writing","科大讯飞旗下AI写作生成器，支持对话式写作与改写、扩写、缩写，可按场景模板快速成文，并能上传音视频与Office文档，一键摘要总结、生成思维导图。","iFlytek's AI writing generator with conversational drafting, rewrite/expand/shorten, scene templates, and summarisation or mind maps from uploaded audio, video and Office files.","text","文本生成与编辑","Text Generation & Editing","https://huixie.iflyrec.com/","https://topxai.cn/ai/iflyrec-writing","AI写作 / 公文写作 / 智能办公","2797"
"jenni","Jenni","Jenni","面向学生与研究者的学术写作助手，从自己导入的文献库写作、边写边引并自动生成引用，支持跨库提问、2 亿+ 篇论文检索与投稿前检查。","Academic writing assistant for students and researchers: draft from your own PDF library, cite as you type, query across sources and run pre-submission checks.","text","文本生成与编辑","Text Generation & Editing","https://jenni.ai/","https://topxai.cn/ai/jenni","学术写作 / 论文 / 引用","1300000"
"jetwriter","Jetwriter","Jetwriter","Jetwriter 是一款个人 AI 写作助手，官方宣传语是「你的个人 AI 写作助手，在任何网站上都能用」（Use AI on Any Site）。","Personal AI writing assistant that works on any site — draft emails, fix grammar, translate, summarise, explain and rewrite without switching tabs.","text","文本生成与编辑","Text Generation & Editing","https://jetwriter.ai/","https://topxai.cn/ai/jetwriter","写作 / 邮件 / 翻译","119830"
"laper","Laper","Laper","面向编剧与影视团队的 AI 剧本创作软件，官网强调自动剧本排版、结构可视化、实时协作与 AI 故事板，并提供免费入门档与团队付费方案。","","text","文本生成与编辑","Text Generation & Editing","https://laper.ai","https://topxai.cn/ai/laper","剧本创作 / 编剧工具 / 影视制作",""
"lex","Lex","Lex","Lex 是一款内置 AI 的现代写作工具，官方定位是「协作文档 + 强大的 AI 编辑工具」，被不少用户当作 Google Docs 的替代品。","Modern writing tool with AI built in, positioned as collaborative docs plus a powerful AI editor, and widely used as a Google Docs alternative.","text","文本生成与编辑","Text Generation & Editing","https://lex.page/","https://topxai.cn/ai/lex","写作 / 文稿","48010"
"maomaochong","茅茅虫论文","Maomaochong Thesis","面向毕业论文的 AI 写作与查重助手，官方称依托超两亿篇中文文献提供文献搜集、提纲生成与全文灵感，覆盖查重降重、AIGC 检测、答辩 PPT 与就业辅助。","AI writing and plagiarism-check assistant for graduation theses, drawing on 200M+ Chinese papers for literature search, outlining and full-text drafting, plus AIGC detection.","text","文本生成与编辑","Text Generation & Editing","https://www.mmc.cc/","https://topxai.cn/ai/maomaochong","论文写作 / 查重降重 / AIGC检测",""
"minimax","MiniMax","MiniMax","MiniMax 是一家多模态大模型公司，官方使命是「让智能属于每个人」，自称全球多模态模型与 AI 原生产品的领先者，拥有超过 2 亿用户。","Multimodal model company behind the MiniMax and Hailuo product lines, with 200M+ users, open-weight models and a public API.","text","文本生成与编辑","Text Generation & Editing","https://www.minimax.io/","https://topxai.cn/ai/minimax","大模型 / 多模态 / 语音","6600000"
"mita-xiezuomao","秘塔写作猫","Mita Writing Cat","秘塔出品的中英文 AI 写作辅助平台，主打「言出法随」语音成稿，集智能纠错、改写润色、自动续写与智能配图于一体，支持从空文本起草或上传 Word 继续写作。","Mita's bilingual AI writing platform, combining error correction, rewriting, auto-continuation and auto-illustration with voice-to-draft dictation.","text","文本生成与编辑","Text Generation & Editing","https://xiezuocat.com/","https://topxai.cn/ai/mita-xiezuomao","写作 / 中文 / 纠错","89100"
"moonbeam","Moonbeam","Moonbeam","长文写作 AI 助手，提供博客、技术指南、教案、Newsletter 等长内容模板，一句话提示即可起稿，官方口号是「不再从空白页开始」，面向英文写作场景。","Long-form AI writing assistant with templates for blogs, technical guides, lesson plans and newsletters — starting from a prompt instead of a blank page.","text","文本生成与编辑","Text Generation & Editing","https://www.gomoonbeam.com/","https://topxai.cn/ai/moonbeam","写作 / 博客 / 长文","684"
"notion-ai","Notion AI","Notion AI","Notion 内置的 AI 工作空间能力，可捕获知识、跨应用检索并生成带引用的答案，还支持用自定义 Agent 自动处理重复工作。","AI layer inside Notion that captures knowledge, searches across your connected apps and answers with citations, plus custom agents for repetitive work.","text","文本生成与编辑","Text Generation & Editing","https://www.notion.so/","https://topxai.cn/ai/notion-ai","写作 / 笔记 / 办公","11870000"
"paperpal","Paperpal","Paperpal","面向科研与学术场景的 AI 写作助手，提供语法校对、改写、查重与引用检查，改写建议基于 2.5 亿篇以上研究论文，覆盖从文献到投稿前检查的完整科研写作流程。","AI writing assistant for research, with grammar checks, rewriting, plagiarism and citation checks grounded in a corpus of 250M+ papers.","text","文本生成与编辑","Text Generation & Editing","https://paperpal.com/","https://topxai.cn/ai/paperpal","学术写作 / 论文润色 / 查重检测","1101711"
"pitaya-writer","火龙果写作","Pitaya Writer","AI 写作辅助工具，主打校对、改写与扩展三大能力，可查错别字与事实性错误、做同义改写降重与书面语转换，并支持多端同步与历史版本恢复。","AI writing assistant built around proofreading, rewriting and expansion — catches typos and factual errors, rewrites for originality and converts text to formal register.","text","文本生成与编辑","Text Generation & Editing","https://www.mypitaya.com/","https://topxai.cn/ai/pitaya-writer","写作校对 / 中文润色 / 英文改写","10077"
"quillbot","QuillBot","QuillBot","QuillBot 的官方定位已经从「改写工具」扩展为完整的 AI 写作套件，口号是「你唯一需要的 AI 订阅」。","A paraphraser grown into a full AI writing suite: grammar checking, plagiarism checking, AI detection, translation, summarisation and citation generation.","text","文本生成与编辑","Text Generation & Editing","https://quillbot.com/","https://topxai.cn/ai/quillbot","改写 / 润色 / 语法","31960000"
"rytr","Rytr","Rytr","Rytr 是一款 AI 写作助手，官方 slogan 是「AI 生成原创且有说服力的内容，听起来像你而不是机器人」。","AI writing assistant that generates original, persuasive copy in a voice that sounds like you rather than a bot.","text","文本生成与编辑","Text Generation & Editing","https://rytr.me/","https://topxai.cn/ai/rytr","写作 / 文案","160720"
"shenyan-dayi","深言达意","Shenyan Dayi","深言科技推出的找词找句工具，孵化自清华大学自然语言处理实验室，支持据意查词、据意查句、词汇检索与汉英双语查询，帮写作者找到更恰切的表达。","Word and sentence finder from Shenyan Tech, incubated at Tsinghua's NLP lab — search by meaning in Chinese or English to land on the right phrasing.","text","文本生成与编辑","Text Generation & Editing","https://www.shenyandayi.com/","https://topxai.cn/ai/shenyan-dayi","写作辅助 / 词语检索 / 中文表达","91235"
"sudowrite","Sudowrite","Sudowrite","专为虚构写作打造的 AI 写作工具，自研 Muse 模型面向小说场景优化，提供故事续写、感官细节描写、脑暴与改写等能力，被多位畅销书作者与编剧用于长篇小说创作。","AI writing tool built specifically for fiction, with a Muse model tuned for novels and features for story continuation, sensory detail, brainstorming and rewriting.","text","文本生成与编辑","Text Generation & Editing","https://www.sudowrite.com/","https://topxai.cn/ai/sudowrite","小说创作 / AI写作 / 创意写作","1089781"
"supernovelist","超级小说家","超级小说家","面向网文作者与短剧编剧的 AI 创作客户端，官网列出深度剧情生成、风格模仿引擎、世界观图谱与智能编辑套件，提供 Windows 与 Mac 版下载。","","text","文本生成与编辑","Text Generation & Editing","https://www.36ma.com","https://topxai.cn/ai/supernovelist","AI写作 / 网文创作 / 小说工具",""
"textcortex","TextCortex","TextCortex","企业级 AI 智能体基础设施，帮企业在自有数据上安全部署与治理 AI 智能体，官网展示的客户成效包括 240 万次使用、55 万美元节省与 75% 效率提升等指标。","Enterprise AI agent infrastructure for deploying and governing agents safely on your own data.","text","文本生成与编辑","Text Generation & Editing","https://textcortex.com/","https://topxai.cn/ai/textcortex","企业AI智能体 / 知识库 / 内容生成","153481"
"together-ai","Together AI","Together AI","Together AI 是 AI 原生云平台，提供开源模型推理、微调与 GPU 集群，OpenAI 兼容接口迁移方便，官方称推理快 2 倍、成本低 60%、预训练快 90%。","AI-native cloud offering open-model inference, fine-tuning and GPU clusters, with an OpenAI-compatible API for easy migration.","text","文本生成与编辑","Text Generation & Editing","https://www.together.ai/","https://topxai.cn/ai/together-ai","云平台 / 推理 / 微调","785130"
"wawa-writer","蛙蛙写作","Wawa Writer","美团旗下小说创作与投稿平台，一句话即可生成小说，官方称内置 5000 多个创作工作流，覆盖长短篇正文、剧本转换、漫剧视频与一键投稿审核。","Meituan's novel-writing and submission platform — generates fiction from a single prompt, with thousands of built-in workflows covering short and long form, scripts and comic video.","text","文本生成与编辑","Text Generation & Editing","https://wawawriter.com/","https://topxai.cn/ai/wawa-writer","小说创作 / 网文工具 / AI投稿",""
"wordtune","wordtune","wordtune","英文写作润色助手，按语境给出贴合个人风格的改写建议，一键切换正式或随意语气，支持拼写语法校对与续写，可免费使用、无需信用卡。","English writing assistant that suggests context-aware rewrites in your own style and flips between formal and casual tone in one click. Free, no credit card.","text","文本生成与编辑","Text Generation & Editing","https://www.wordtune.com/","https://topxai.cn/ai/wordtune","写作 / 润色 / 改写","371010"
"writesonic","WriteSonic","WriteSonic","现已转型为 AI 搜索增长引擎，面向 GEO 与 AEO 场景：追踪品牌在多个 AI 平台的可见度，并产出内容与引用优化动作，官网称服务亚马逊、联合利华等上万家企业市场团队。","Now an AI search growth engine for GEO and AEO: it tracks brand visibility across AI platforms and produces the content and citation improvements to match.","text","文本生成与编辑","Text Generation & Editing","https://writesonic.com/","https://topxai.cn/ai/writesonic","AI搜索优化 / GEO / 内容生成","297264"
"xinhua-miaobi","新华妙笔","Xinhua Miaobi","新华社国家重点实验室与博特智能合作的 AI 写作平台，聚焦公文写作、文稿审校与国标格式排版，内置政企知识库，并提供个人版、团队版与私有化部署形态。","AI writing platform from Xinhua's State Key Laboratory and Bot Smart, focused on official document drafting, proofreading and national-standard formatting with a built-in knowledge base.","text","文本生成与编辑","Text Generation & Editing","https://miaobi.xinhuaskl.com/","https://topxai.cn/ai/xinhua-miaobi","公文写作 / 文稿审校 / 政企办公","17560"
"xunfei-zhiwen","讯飞智文","iFlytek Zhiwen","科大讯飞推出的文档生成工具，输入一句话主题或长文本即可生成 Word 与 PPT，支持多语种文本互译、AI 自动配图与模板配色切换，并能基于 PPT 内容自动生成演讲稿。","iFlytek's document generator that turns a one-line topic or long text into Word and PPT, with translation, auto-illustration and auto-generated speaker notes.","text","文本生成与编辑","Text Generation & Editing","https://zhiwen.xfyun.cn/","https://topxai.cn/ai/xunfei-zhiwen","AI文档 / PPT生成 / 智能办公","31764"
"360-zhitu","360智图","360 Zhitu","360推出的AI图片创作平台，提供智能生成背景、一键成图与模板化图文素材，并配套高清版权图库，面向新媒体配图、营销物料与日常设计等场景。","360's AI image creation platform with background generation, one-click image making and templated graphics, backed by a licensed high-resolution stock library.","image-create","图像生成与编辑","Image Generation & Editing","https://tu.360.cn/","https://topxai.cn/ai/360-zhitu","AI配图 / 版权图库 / 营销素材",""
"aiart","万兴爱画","Wondershare AI Art","万兴科技推出的AI绘画平台，支持文字生成图片与图片生成图片，内置多种风格模型并支持中英文双语创作，官方说明生成内容的权利归属用户，面向创意设计与内容配图。","Wondershare's AI art platform for text-to-image and image-to-image, with multiple style models, bilingual prompts and full rights to generated content.","image-create","图像生成与编辑","Image Generation & Editing","https://aigc.wondershare.cn/","https://topxai.cn/ai/aiart","AI绘画 / 商用授权 / 万兴科技",""
"civitai","Civitai","Civitai","全球最大的生成式 AI 模型社区，可发现、下载与在线运行 Stable Diffusion、Flux 等开源模型，也支持图像、视频、3D 内容的创作与分享。","The largest generative AI model community — discover, download and run open models like Stable Diffusion and Flux, and share image, video and 3D creations.","image-create","图像生成与编辑","Image Generation & Editing","https://civitai.com/","https://topxai.cn/ai/civitai","模型社区 / Stable Diffusion / AI创作","6528370"
"craiyon","Craiyon","Craiyon","免费文生图工具（前身 DALL·E mini），输入文字即可生成艺术、照片、插画等图片，并提供 Logo、动漫、纹身、室内设计等垂直生成入口与图片搜索。","Free text-to-image tool (formerly DALL·E mini) that generates art, photos and illustrations from a prompt, with vertical generators for logos, anime and interiors.","image-create","图像生成与编辑","Image Generation & Editing","https://www.craiyon.com/","https://topxai.cn/ai/craiyon","免费生图 / 文生图 / 趣味生成","1517067"
"deepai","DeepAI","DeepAI","老牌 AI 工具站，提供图像生成、视频、音乐、语音聊天与照片编辑等能力，并配套移动端与 Chrome 插件，官网主打「给有创造力的人用的 AI 工具」。","Veteran AI toolset covering image generation, video, music, voice chat and photo editing, with mobile and Chrome apps.","image-create","图像生成与编辑","Image Generation & Editing","https://deepai.org/","https://topxai.cn/ai/deepai","AI生图 / AI聊天 / 多模态生成","8593103"
"duiyou","堆友","Duiyou","阿里旗下全能 AI 设计 Agent，官网介绍其提供 Qwen、通义万相 Wan 系列等模型的官方体验入口，支持图片视频生成、3D 素材在线渲染与免费商用素材。","Alibaba's all-in-one AI design agent, offering official access to Qwen and Tongyi Wanxiang models, image and video generation, online 3D rendering and free commercial assets.","image-create","图像生成与编辑","Image Generation & Editing","https://d.design/","https://topxai.cn/ai/duiyou","AI绘画 / 设计Agent / 3D素材","120344"
"getimg","Getimg.ai","Getimg.ai","集成主流模型的 AI 创作工作台，可在一个空间里生成与编辑图像、视频、音乐与语音，官网主打无需研究模型与复杂配置即可开工，并提供 API。","AI creation workspace aggregating mainstream models — generate and edit images, video, music and speech in one place, with a public API.","image-create","图像生成与编辑","Image Generation & Editing","https://getimg.ai/","https://topxai.cn/ai/getimg","多模型创作 / AI生图 / 图像编辑","395709"
"imgak","imgAK","imgAK","imgAK是覆盖AI婚纱照、电商商品套图、人像与产品精修、高清放大与照片修复的图像平台，官方称在一个平台完成图片修复、高清放大、电商视觉与创意生成，无需专业设计经验。","","image-create","图像生成与编辑","Image Generation & Editing","https://www.imgak.com","https://topxai.cn/ai/imgak","AI修图 / 商品图生成 / 照片修复",""
"imgsys","imgsys","imgsys","fal.ai 推出的生成图像模型竞技场，用同一提示词对比不同模型出图，按用户投票给出人气排名并标注样本量，覆盖商业与社区模型，可直接在线试玩。","fal.ai's generative image model arena: run the same prompt across models, see community-voted rankings with sample sizes, and try them online.","image-create","图像生成与编辑","Image Generation & Editing","https://imgsys.org/rankings","https://topxai.cn/ai/imgsys","图像生成 / 竞技场 / 评测","8540"
"jiaodian-ai","蕉点AI","蕉点AI","蕉点AI是面向电商的多品类AI商品图生成平台，官方称支持女装、饰品、母婴、宠物等品类AI虚拟上身图，并提供AI换背景、白底图制作、商品图精修与淘宝京东抖音主图点击率预测。","","image-create","图像生成与编辑","Image Generation & Editing","https://www.jiaodianai.com","https://topxai.cn/ai/jiaodian-ai","电商设计 / 虚拟试穿 / 商品图生成",""
"katu-ai","咖图AI","咖图AI","咖图AI是节点式AI工作流画布与多模型生图工作台，支持公开模板复制、批量生图、图片处理链路、电商套图与多人协作，官方称可把出图步骤沉淀为可保存、可复制、可重复运行的工作流。","","image-create","图像生成与编辑","Image Generation & Editing","https://www.katuai.cn","https://topxai.cn/ai/katu-ai","节点工作流 / AI生图 / 电商设计",""
"kolors","可图","Kolors","快手推出的可图大模型，提供中文文生图与AI形象定制能力，内置多种风格化模板与作品广场，支持一键同款，面向社交头像、创意配图与个人形象创作场景。","Kuaishou's Kolors image model, offering Chinese text-to-image and AI avatar customisation with style templates and one-tap remixing.","image-create","图像生成与编辑","Image Generation & Editing","https://kolors.kuaishou.com/","https://topxai.cn/ai/kolors","文生图 / 形象定制 / 快手","4176"
"koukoutu","抠抠图","抠抠图","抠抠图是主打永久免费在线AI抠图的工具集，官方称可批量抠图并处理复杂背景与细腻发丝，另提供印花提取、白底图、批量SKU、去水印、无痕改字、图片矢量化和侵权检测等工具。","","image-create","图像生成与编辑","Image Generation & Editing","https://www.koukoutu.com","https://topxai.cn/ai/koukoutu","AI抠图 / 电商设计 / 图片处理",""
"leonardo","Leonardo AI","Leonardo AI","面向创作者与营销团队的生成式 AI 平台，可用提示词或自有模型生成高质量视觉，并支持图像编辑与视频化，官网主打帮市场与设计团队规模化产出内容。","Generative AI platform for creators and marketing teams — produce high-quality visuals from prompts or custom models, then edit and animate them.","image-create","图像生成与编辑","Image Generation & Editing","https://leonardo.ai/","https://topxai.cn/ai/leonardo","AI生图 / 自定义模型 / 营销素材","7958541"
"liblib","LiblibAI","LiblibAI","国内主流 AI 创作平台，官网称提供 10 万+ 模型免费下载、在线 WebUI 与 ComfyUI 生图以及 LoRA 训练，图片与视频模型齐全，是国内创作者的主要据点之一。","Major Chinese AI creation platform with 100k+ free model downloads, online WebUI and ComfyUI generation, and LoRA training across image and video models.","image-create","图像生成与编辑","Image Generation & Editing","https://www.liblib.art/","https://topxai.cn/ai/liblib","AI绘画 / 模型社区 / 在线ComfyUI","1545132"
"magnific","Magnific","Magnific","原 Freepik 升级而来的 AI 创意平台，官网称汇聚图像、视频与音频的各类主流模型，覆盖从广告大片、产品图到影视制作的全流程创作，同时保留素材库能力。","AI creative platform at Freepik, bringing together leading image, video and audio models for work ranging from ad visuals and product shots to film production.","image-create","图像生成与编辑","Image Generation & Editing","https://magnific.ai/","https://topxai.cn/ai/magnific","AI创意平台 / 图像视频生成 / 素材库","73594"
"miaohuiai","秒绘AI","秒绘AI","秒绘AI是上海愿象信息科技旗下的免费AI绘画生成平台，官方称支持文生图、图生图与AI视频生成，覆盖人物写真、风景摄影、产品展示、艺术插画等风格，并提供电商图片与提示词辅助功能。","","image-create","图像生成与编辑","Image Generation & Editing","https://miaohuiai.cc","https://topxai.cn/ai/miaohuiai","AI绘画 / 文生图 / AI视频",""
"midjourney","Midjourney","Midjourney","以画面美感著称的 AI 绘图服务，由社区资助的独立研究实验室打造，风格化能力强，支持参考图与角色一致性控制，付费订阅制。","AI image service known for its aesthetic quality, built by an independent research lab funded by its community. Subscription-based, with reference images and character consistency.","image-create","图像生成与编辑","Image Generation & Editing","https://www.midjourney.com/","https://topxai.cn/ai/midjourney","绘图 / 艺术 / 文生图","9390000"
"miguo","米粿AI","米粿AI","米粿AI（米粿绘画）是懂画师的渐进式分层绘画助手，官方称支持图层分层输出与PSD导出，提供草图转线稿、线稿提取、线稿上色、阴影生成与角色姿势生成，可嵌入专业绘画流程。","","image-create","图像生成与编辑","Image Generation & Editing","https://miguo.ai","https://topxai.cn/ai/miguo","AI绘画 / 线稿上色 / 图像分层",""
"nightcafe","NightCafe","NightCafe","面向 AI 艺术爱好者的创作平台与社区，聚合多家主流生图模型，提供每日挑战、Promptle 等玩法，官网主打「为创意与乐趣而生」。","Creation platform and community for AI art lovers, aggregating several major image models with daily challenges and Promptle.","image-create","图像生成与编辑","Image Generation & Editing","https://nightcafe.studio/","https://topxai.cn/ai/nightcafe","AI艺术 / 多模型 / 创作社区","2991562"
"openart","OpenArt","OpenArt","一站式 AI 创作平台，官网称汇聚 Google、OpenAI、Seedance 等 100+ 模型，支持图像、视频与音乐生成，已有 800 万+ 创作者使用。","All-in-one AI creation platform spanning 100+ models from Google, OpenAI and others for image, video and music generation, used by 8M+ creators.","image-create","图像生成与编辑","Image Generation & Editing","https://openart.ai/","https://topxai.cn/ai/openart","AI生图 / 多模型聚合 / AI视频","8861371"
"phot-ai","Phot.AI","Phot.AI","面向增长与广告场景的视觉内容平台，提供 AI 图像编辑、生成与增强，官网主打「产出、测试并规模化那些能转化的创意素材」，覆盖广告、视频与商品图。","Visual content platform for growth and advertising — AI image editing, generation and enhancement aimed at producing and scaling creatives that convert.","image-create","图像生成与编辑","Image Generation & Editing","https://phot.ai/","https://topxai.cn/ai/phot-ai","AI修图 / 广告创意 / 商品图","159344"
"picwish","PicWish","PicWish","国产免费在线 AI 修图工具集，提供画质增强、去背景、模糊变清晰等能力，覆盖商品图与日常照片处理，并提供面向开发者的 API。","Free online AI photo toolkit with quality enhancement, background removal and unblurring, covering product and everyday photos, plus a developer API.","image-create","图像生成与编辑","Image Generation & Editing","https://picwish.com/","https://topxai.cn/ai/picwish","AI修图 / 画质增强 / 去背景","3069834"
"pixai","PixAI","PixAI","专注二次元的 AI 绘画平台，官网称提供 180 万+ 动漫模型与 LoRA，输入提示词数秒出图并提供每日免费额度，另有 Studio、Recipe、创作比赛与移动端。","Anime-focused AI art platform with 1.8M+ anime models and LoRAs, daily free credits, a studio, recipes and creation contests.","image-create","图像生成与编辑","Image Generation & Editing","https://pixai.art/","https://topxai.cn/ai/pixai","二次元绘画 / LoRA模型 / AI创作社区","11995488"
"pixpix","PixPix","PixPix","PixPix是面向跨境电商卖家的AI商品图与视频生成平台，官方称上传商品图即可生成Amazon、Temu等平台的主图、场景图与详情页，另有AI抠图、AI模特、短视频与多语言文案。","","image-create","图像生成与编辑","Image Generation & Editing","https://www.pixpix.com","https://topxai.cn/ai/pixpix","电商设计 / AI视频 / 跨境出海",""
"playground","Playground","Playground","面向所有人的 AI 设计工作室，官网主打把想法变成贴纸、周边、海报与各类图形，无需设计经验，提供模板起点与移动端 App。","AI design studio that turns ideas into stickers, merchandise, posters and graphics without design experience, with template starting points and a mobile app.","image-create","图像生成与编辑","Image Generation & Editing","https://playground.com/","https://topxai.cn/ai/playground","AI设计 / 贴纸周边 / 社媒素材","77522"
"recraft","Recraft","Recraft","面向设计师与团队的 AI 图像平台，官网称其文生图模型在写实、矢量生成、自定义风格与样机方面表现突出，V4 Styles 可让整套图保持同一视觉风格。","AI image platform for designers, strong in photorealism, vector generation, custom styles and mockups, with V4 Styles keeping a whole set visually consistent.","image-create","图像生成与编辑","Image Generation & Editing","https://www.recraft.ai/","https://topxai.cn/ai/recraft","矢量生成 / AI生图 / 设计素材","1568154"
"scidraw-ai","SciDraw AI","SciDraw AI","SciDraw AI是面向科研人员的AI科学插画与数据可视化平台，官方称可从文字或草图生成论文级插图，并支持CSV数据出图与SVG/PPTX可编辑导出，兼容主流期刊投稿规范。","","image-create","图像生成与编辑","Image Generation & Editing","https://sci-draw.com","https://topxai.cn/ai/scidraw-ai","科学插图 / 数据可视化 / 科研绘图",""
"seaart","SeaArt AI","SeaArt AI","一站式 AI 创作平台与社区，支持图像、视频、音频生成与智能聊天，首页可见 GPT Image 2.5、Seedance 2.5 等模型入口，可快速把创意变成作品并分享社区。","All-in-one AI creation platform and community for image, video and audio generation plus chat, hosting models such as GPT Image and Seedance.","image-create","图像生成与编辑","Image Generation & Editing","https://seaart.ai/","https://topxai.cn/ai/seaart","AI绘画 / 二次元 / 创作社区","18505932"
"sensemirage","商汤秒画","SenseMirage","商汤科技推出的AI作画平台，支持中文提示词文生图与图生图，提供多种风格模型，并支持LoRA训练定制形象与画风，官方称可免费使用，面向插画与IP创作场景。","SenseTime's AI drawing platform with Chinese-prompt text-to-image and image-to-image, multiple style models and LoRA training for custom characters and looks. Free to use.","image-create","图像生成与编辑","Image Generation & Editing","https://miaohua.sensetime.com/","https://topxai.cn/ai/sensemirage","AI作画 / LoRA训练 / 商汤","6562"
"stable-diffusion","Stable Diffusion","Stable Diffusion","Stability AI 的生成式 AI 产品线，含开源图像模型与企业级图像、视频、3D/4D 模型与音频工具包，支持商用授权，可本地部署或走企业托管。","Stability AI's generative line, from the open-source image model to enterprise image, video, 3D/4D and audio toolkits — licensable for commercial use and deployable locally.","image-create","图像生成与编辑","Image Generation & Editing","https://stability.ai/","https://topxai.cn/ai/stable-diffusion","绘图 / 开源 / 本地部署","348110"
